sigma,omega,fdm_trap,fdm_vegas,meq_vegas,Q_f,Q_m,M_lo,M_hi,file
0.1082387,0.32431,9.918527682481686e-41,9.918545930331197e-41,0.4461317698709061,0.8385707589630809,0.1494535053285803,0.02101702,7.978467,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1082387_W0.32431_l1e-04_h1e+06.txt
0.1083026,0.3347834,1.1224434165775333e-40,1.1224457019961098e-40,0.482999932277995,0.023526986832058828,0.023526986832058828,0.02011989,9.38257,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1083026_W0.3347834_l1e-04_h1e+06.txt
0.1260251,0.4423211,1.0241557591637348e-37,1.0241861389894438e-37,2.084353415520553,0.0641360474145571,0.0641360474145571,0.009915514,53.17843,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1260251_W0.4423211_l1e-04_h1e+06.txt
0.1503167,0.497198,4.5121470892976056e-36,4.5121604747355e-36,2.600114198068902,0.7769383235349308,0.7442829211995503,0.004613731,129.3913,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1503167_W0.497198_l1e-04_h1e+06.txt
0.1567651,0.4811923,5.01516503684449e-36,5.015191702647873e-36,2.328999375460238,0.8708345852464198,0.1469880417009988,0.004016495,120.8513,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1567651_W0.4811923_l1e-04_h1e+06.txt
0.1704521,0.3817654,2.2515902120416564e-36,2.2516059219743403e-36,1.2033068316231195,0.6856311697847474,0.09575054884415073,0.002954212,49.39354,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1704521_W0.3817654_l1e-04_h1e+06.txt
0.173643,0.294617,1.214025457198266e-37,1.2140235161536536e-37,0.5942396231764273,0.9150450937579574,0.8884480772527497,0.002791609,15.51982,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.173643_W0.294617_l1e-04_h1e+06.txt
0.1811549,0.3911643,4.3123032915795926e-36,4.312306201342468e-36,1.2436843401999542,0.8289490842843436,0.11494473727674624,0.002240285,62.3082,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1811549_W0.3911643_l1e-04_h1e+06.txt
0.1860016,0.4622515,1.0631138404925255e-35,1.0631134212546695e-35,1.8672462046790148,0.3563817328206884,0.3563817328206884,0.002020886,137.8624,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1860016_W0.4622515_l1e-04_h1e+06.txt
0.1970405,0.3519826,4.2857147505130785e-36,4.2856890121819056e-36,0.8975159732852259,0.05590974784846885,0.03365599489060497,0.001570795,45.09445,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.1970405_W0.3519826_l1e-04_h1e+06.txt
0.1,0.4641589,2.3662746988989943e-40,2.366275700862488e-40,1.1636827320080156,0.022285736232552894,0.022285736232552894,0.02663997,40.09291,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.1_W0.4641589_l1e-02_h1e+06.txt
0.1,1000.0,4.441789079644832e-22,4.441782306746685e-22,645277.1646630833,0.9064979432425786,0.7480373157276606,0.02507695,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.1_W1000.0_l1e-02_h1e+06.txt
0.1,1.668101,1.1078695441172957e-32,1.1078701935674458e-32,147.51877721885904,0.8988829177367291,0.8323746502434944,0.0228509,12738.65,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.1_W1.668101_l1e-02_h1e+06.txt
0.1,21.54435,1.9873899852723295e-23,1.987396603418423e-23,318905.88237944694,0.36116093299909935,0.3028896390802752,0.02437815,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.1_W21.54435_l1e-02_h1e+06.txt
0.1,278.2559,4.369445834854336e-22,4.369432111802396e-22,643689.7216222613,0.08980170355139375,0.08980170355139375,0.02507695,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.1_W278.2559_l1e-02_h1e+06.txt
0.1,5.994843,3.116557608475364e-28,3.1165731906325072e-28,7336.096159037726,0.3002797128623601,0.019126698674655995,0.02377692,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.1_W5.994843_l1e-02_h1e+06.txt
