sigma,omega,fdm_s1,fdm_cut_N1,fdm_cut_N3,fdm_full,M_cut_N1,binds_N1,M_cut_N3,binds_N3,file
0.1082387,0.32431,9.918545930331195e-41,6.614687356807406e-41,6.614687356807406e-41,6.614687356807406e-41,7.978467,array_max,7.978467,array_max,sigma0.1082387_W0.32431_l1e-04_h1e+06.txt
0.1083026,0.3347834,1.1224457019961096e-40,7.485773407938762e-41,7.485773407938762e-41,7.485773407938762e-41,9.38257,array_max,9.38257,array_max,sigma0.1083026_W0.3347834_l1e-04_h1e+06.txt
0.1260251,0.4423211,1.0241861389894438e-37,6.892065021073061e-38,6.892065021073061e-38,6.892065021073061e-38,53.17843,array_max,53.17843,array_max,sigma0.1260251_W0.4423211_l1e-04_h1e+06.txt
0.1503167,0.497198,4.5121604747355e-36,3.013334090620768e-36,3.013334090620768e-36,3.013334090620768e-36,129.3913,array_max,129.3913,array_max,sigma0.1503167_W0.497198_l1e-04_h1e+06.txt
0.1567651,0.4811923,5.015191702647873e-36,3.349423401514116e-36,3.349423401514116e-36,3.349423401514116e-36,120.8513,array_max,120.8513,array_max,sigma0.1567651_W0.4811923_l1e-04_h1e+06.txt
0.1704521,0.3817654,2.2516059219743403e-36,1.504387709201911e-36,1.504387709201911e-36,1.504387709201911e-36,49.39354,array_max,49.39354,array_max,sigma0.1704521_W0.3817654_l1e-04_h1e+06.txt
0.173643,0.294617,1.2140235161536536e-37,8.16588170586395e-38,8.16588170586395e-38,8.16588170586395e-38,15.51982,array_max,15.51982,array_max,sigma0.173643_W0.294617_l1e-04_h1e+06.txt
0.1811549,0.3911643,4.312306201342468e-36,2.8799167912681014e-36,2.8799167912681014e-36,2.8799167912681014e-36,62.3082,array_max,62.3082,array_max,sigma0.1811549_W0.3911643_l1e-04_h1e+06.txt
0.1860016,0.4622515,1.0631134212546696e-35,7.097199562655054e-36,7.097199562655054e-36,7.097199562655054e-36,137.8624,array_max,137.8624,array_max,sigma0.1860016_W0.4622515_l1e-04_h1e+06.txt
0.1970405,0.3519826,4.2856890121819056e-36,2.862113305176151e-36,2.862113305176151e-36,2.862113305176151e-36,45.09445,array_max,45.09445,array_max,sigma0.1970405_W0.3519826_l1e-04_h1e+06.txt
0.1,0.4641589,2.366275700862488e-40,1.5781122053832465e-40,1.5781122053832465e-40,1.5781122053832465e-40,40.09291,array_max,40.09291,array_max,sigma0.1_W0.4641589_l1e-02_h1e+06.txt
0.1,1000.0,4.441782306746685e-22,1.7843506736910658e-15,1.7843506736910658e-15,2.2576902133695746e-15,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.1_W1000.0_l1e-02_h1e+06.txt
0.1,1.668101,1.1078701935674458e-32,7.422787597605638e-33,7.422787597605638e-33,7.422787597605638e-33,12738.65,array_max,12738.65,array_max,sigma0.1_W1.668101_l1e-02_h1e+06.txt
0.1,21.54435,1.9873966034184232e-23,2.3583163727114612e-23,2.3583163727114612e-23,2.3583163727114612e-23,351055100.0,array_max,351055100.0,array_max,sigma0.1_W21.54435_l1e-02_h1e+06.txt
0.1,278.2559,4.369432111802396e-22,1.1324390868082368e-16,1.1324390868082368e-16,1.143954602889562e-16,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.1_W278.2559_l1e-02_h1e+06.txt
0.1,5.994843,3.116573190632507e-28,2.08396668908444e-28,2.08396668908444e-28,2.08396668908444e-28,2438912.0,array_max,2438912.0,array_max,sigma0.1_W5.994843_l1e-02_h1e+06.txt
0.1,77.42637,3.3898365893788943e-22,1.3713675613743553e-19,1.3713675613743553e-19,1.3713675613743556e-19,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.1_W77.42637_l1e-02_h1e+06.txt
0.2088868,0.3603152,6.880707148387314e-36,4.5941232387835175e-36,4.5941232387835175e-36,4.5941232387835175e-36,55.94075,array_max,55.94075,array_max,sigma0.2088868_W0.3603152_l1e-04_h1e+06.txt
0.2105321,0.392163,1.0088656920366482e-35,6.734975034478521e-36,6.734975034478521e-36,6.734975034478521e-36,82.80662,array_max,82.80662,array_max,sigma0.2105321_W0.392163_l1e-04_h1e+06.txt
0.2382164,0.4506068,4.816820403550297e-34,3.270839421691515e-34,3.270839421691515e-34,3.270839421691515e-34,188.5238,array_max,188.5238,array_max,sigma0.2382164_W0.4506068_l1e-04_h1e+06.txt
0.2632187,0.2904487,9.073364940969132e-36,6.057182868974006e-36,6.057182868974006e-36,6.057182868974006e-36,32.28388,array_max,32.28388,array_max,sigma0.2632187_W0.2904487_l1e-04_h1e+06.txt
0.2679113,0.3556203,1.912181467268425e-35,1.2763739636243516e-35,1.2763739636243516e-35,1.2763739636243516e-35,81.85833,array_max,81.85833,array_max,sigma0.2679113_W0.3556203_l1e-04_h1e+06.txt
0.2755667,0.4306771,6.618732775679275e-33,4.437648921581985e-33,4.437648921581985e-33,4.437648921581985e-33,196.4483,array_max,196.4483,array_max,sigma0.2755667_W0.4306771_l1e-04_h1e+06.txt
0.2830091,0.3722037,1.2889414899835317e-33,8.69971474200496e-34,8.69971474200496e-34,8.69971474200496e-34,109.3615,array_max,109.3615,array_max,sigma0.2830091_W0.3722037_l1e-04_h1e+06.txt
0.2,0.2,2.257124290795195e-40,1.5052564376668526e-40,1.5052564376668526e-40,1.5052564376668526e-40,3.274708,array_max,3.274708,array_max,sigma0.2_W0.2_l1e-02_h1e+06.txt
0.2,0.5152603,2.0368467550813768e-35,1.3595824298706208e-35,1.3595824298706208e-35,1.3595824298706208e-35,252.9441,array_max,252.9441,array_max,sigma0.2_W0.5152603_l1e-02_h1e+06.txt
0.2,1000.0,2.0898065175285137e-19,2.6361742794586463e-13,2.6361742794586463e-13,3.8609850897323563e-13,15000000000.0,mass_ratio,15000000000.0,mass_ratio,sigma0.2_W1000.0_l1e-02_h1e+06.txt
0.2,1.327466,7.234490003978697e-30,4.871342001867271e-30,4.871342001867271e-30,4.871342001867271e-30,14043.72,array_max,14043.72,array_max,sigma0.2_W1.327466_l1e-02_h1e+06.txt
